id;code;libelle;description;priorite
1;amorphe;prout projeter zzzz;chef de cuisine;23296
2;délégation outre vu que;en bas de menacer toutefois;gérer;21483
3;sur corriger;ha;alors que rédaction;29234
4;étant donné que résigner;restreindre athlète après que;sitôt puisque;22525
5;aussitôt que badaboum sans;en face de;chef de cuisine loufoque dorénavant;10870
6;smack bzzz incognito;hors sans;extrêmement proche de sitôt que;31878
7;apparemment alors que membre titulaire;aux environs de avex;souvent;23937
8;tchou tchouu;membre de l’équipe;bénéficier engager incalculable;3475
9;pendant que;hors de si ensemble;svelte où recta;5308
10;porter après;proche de comment;svelte;17824
