id;date;bon_de_commande;facture
1;2024-12-30;vu que partenaire penser;jouer déclencher
2;2024-12-30;dessus;atchoum affirmer
3;2024-12-30;tsoin-tsoin tranquille accroître;sur
4;2024-12-31;plouf malade quoique;après que areu areu
5;2024-12-31;ouin loin de;en guise de vroum
6;2024-12-31;patientèle efficace au point que;rose en dehors de admirablement
7;2024-12-30;membre titulaire lectorat;orienter jusque classer
8;2024-12-30;après-demain déjà;défiler membre à vie par
9;2024-12-31;bien que aïe;encore chef de cuisine
10;2024-12-31;de peur que;de manière à rallier
