id;nom;niveau_expertise;disponibilite
1;guider;rédaction quitte à au lieu de;true
2;changer;tant communauté étudiante;true
3;sitôt que altruiste choisir;de façon à lorsque de façon que;false
4;de crainte que lors de vaste;membre titulaire toc chercher;false
5;svelte;magnifique ouch discuter;false
6;crac diététiste;puisque;false
7;sombre écouter;mélanger essayer;false
8;serviable loin de en bas de;concernant;false
9;tsoin-tsoin;de peur de membre à vie;false
10;à même tellement;avant délégation de sorte que;false
