id;raison_sociale;identifiant_unique;registre_commerce;code_article;adresse;code_postal;pays;telephone;fax;email;agence
1;entreprendre;louer âcre;de;premièrement;plouf membre à vie fade;glouglou en face de;plouf de façon à;+33 240751914;serviable;Audran44@hotmail.fr;a population du Québec approximativement
2;oups au moyen de par;sédentaire;si bien que psitt;montrer atchoum tendre;entre hypocrite tard;étant donné que;smack biathlète dresser;+33 273064314;triathlète;Barbe.Masson@yahoo.fr;psitt redouter hé
3;lorsque dring rose;redonner parce que;antique jeune enfant afficher;clientèle;séculaire minuscule;communauté étudiante;insuffisamment;+33 317271051;parlementaire;Lambert16@gmail.com;à raison de
4;grrr;lentement;planter;collègue à cause de;vétuste;aussitôt que;ouah parer;0269930065;esquisser;Athina_Nguyen18@gmail.com;fonctionner cuicui badaboum
5;plouf sans que;vider espiègle;multiple;clientèle régner à moins de;depuis;brusque sombre antagoniste;snif;0633273453;touriste grossir;Prosper_Breton51@yahoo.fr;étant donné que pin-pon
6;guide coac coac;surveiller à partir de pourvu que;neutre;auprès de;meuh au dépens de;abolir proche de;rectangulaire freiner;0408365016;chef avertir;Eugene.Bertrand@gmail.com;en bas de
7;que;rapide d'après comme;clientèle;rester;célébrer;maigre à condition que hausser;derrière plutôt;+33 352463853;transporter équipe de recherche inviter;Nicephore55@gmail.com;séculaire aussitôt
8;impromptu hi;vu que lever diététiste;gestionnaire snob tandis que;adversaire charitable;vlan blablabla égoïste;modifier;crac;+33 595032720;d'après;Gerard.Fontaine@yahoo.fr;jusqu’à ce que
9;aïe émérite avant que;céans retomber ouin;au dépens de;tard hier gestionnaire;au-dessous de clientèle applaudir;sympathique;durant;+33 788471005;miaou;Roger.Renault@yahoo.fr;courir
10;brusque tout;broum raide;rigoler vers sus;incorporer fidèle;lectorat;vis-à-vie de quoique pendant que;parlementaire plic ici;+33 580469892;vraiment;Jeannel.Noel10@hotmail.fr;police porte-parole plouf
