id;model;numero_carte_grise;num_serie;statut;type
1;rectorat au point que zzzz;confirmer de manière à ce que;au-dehors même;EN_MAINTENANCE;accroître
2;régler sous;secours fonctionnaire;initier;DISPONIBLE;broum mairie
3;dans la mesure où;foule hôte comme;charitable au point que;DISPONIBLE;collègue
4;tout à fait d'après désagréable;glouglou au cas où;aujourd'hui;EN_MAINTENANCE;tantôt de façon que commissionnaire
5;débile comme;avant-hier;gémir;EN_MAINTENANCE;efficace premièrement
6;séculaire ouah;membre du personnel;afin que aussi;DISPONIBLE;chez certainement
7;assez fleurir;pourvoir extatique;désormais orange par rapport à;DISPONIBLE;nouer à condition que
8;triathlète;brave;avex de crainte que clientèle;DISPONIBLE;franco
9;murmurer infiniment;commis aussitôt que;de façon à;DISPONIBLE;membre à vie nouer
10;triangulaire;oh;par suite de deçà;EN_MAINTENANCE;assez quant à séculaire
